Role,Start timecode,End timecode,Speaker,Transcript,,
Q,00:00:02;23,00:00:04;01,Sade,What is your full name? ,,
A,00:06:16;12,00:07:07;03,F112,Well it's changed some but like I say when I was growing up in Townsville it's not that many blacks out there now as it was was that many blacks where they are now lives but I guess it's just that there's a difference there's a difference. And in Townsville and here you know and these people are more friendly and there's more people here here than there were in the south south because it was deserted out there as you know it wasn't meant to bother me. Like I say. In. My class. I was only like. Five. Blacks in the class. 
A,00:07:08;02,00:07:18;16,F110,And then my uncles and my brothers class is the only black in his class so I called the Schrader's limiting my accent. 
A,00:07:19;15,00:07:49;20,M9,I come from a pleasant place to type now so limited there was not many blacks around the city would say that the biggest change over the difference between the South. Yes right. 
A,00:07:49;28,00:08:27;03,F7,Yes that's where is because the south is like I say I always say like oh you're from the country and it's not much which was all those of that but then there was that much out there for anyone like you know just in terms of like you said it was as it was it was quite empty especially at worrying about that has changed so you look at the population and what they've build there on Staten Island compared to what it was before. 
A,00:08:27;07,00:08:46;12,F112,It was like we thought Townsville deserved it and you come down this way. It was desert to a certain extent but I hadn't a lot. Anyway just a big difference compared today with the population of building up everything from malls stores to. 
Q,00:08:48;17,00:09:12;09,F129,Right. So it was. Like. Me that was that many people out there was like I could say country land. You. Know. 
Q,00:09:15;22,00:09:16;12,F167,What. 
A,00:09:17;18,00:09:39;15,F7,Oh yes there is. There are some farms like up on Highland Boulevard out that way and in that way families had farmland farmlands and that was that many. But it was like the small farmer is about that much more. 
A,00:09:40;14,00:09:44;28,M9,Yes. What do you think about. 
A,00:09:50;16,00:10:47;16,F7,The people and the scenery. It was a big that made a big difference because people coming from all different areas these different states to live here and building homes and building stories and that the population increased what it was before in every area go to what a big difference it was like you look at. Sites which country country. So it's a bit different and as you look they're coming back from Townsville to homes and that's how have know they've built up so many pleasant plains all the areas that are that way they build up the stores out and all you know and you see that we never thought it would be like that today. And as you come further down the Mall to Macy's and all that has changed all over. 
Q,00:10:48;22,00:10:53;06,M5,How. Yes the Thais. 
A,00:10:55;09,00:11:01;25,M9,Yes we are becoming a cultural yes. 
A,00:11:02;08,00:11:36;22,F26,So all the time you have to for both of you imagine like somebody you never know. No concept no concept of anything you're talking about given a little detail. You know it's you know like I said What did main street look like when you were growing up. Oh after shave. It was just like. 
A,00:11:40;21,00:11:48;09,F7,Nomads. By being country they're mainstream you had a couple of stores. 
A,00:11:48;16,00:12:12;27,F54,The post office precinct the drugstore and and there was there was a large what was up there and a few stores and people in an apartment before that on Main Street was on much of anything. 
A,00:12:14;02,00:13:04;02,F7,So like I said the movie there the drugstore that was increasing its just about all that we had they had a Altes or something there himself as a cross and white we or something like that for I was a boy wasn't that when there was still just a store for people living in stores and that wasn't that much to it. So I get built up more so much more was out there and that taught me like it was you know busy. 
A,00:13:04;07,00:13:15;18,F74,And I guess if you had had the stores more stores pleasure to get out. 
A,00:13:15;29,00:13:33;21,F7,But even though like now it's build up so much more says I've been here. But there's a big difference then now that it was you know when I moved here but out there what it was like was like an area like this that was so it. 
A,00:13:34;16,00:13:39;27,M5,So people do well. 
A,00:13:40;02,00:13:49;20,F96,Growing up my mother my father used to take the ferry to Perth Amboy job their factory jobs that they worked. 
A,00:13:49;25,00:14:58;09,F69,My mother worked in the garment. My father was like it was a melting or something like that factory there and they would take the ferry take the train to come down to jobs down this way but there's few jobs here on site. Now come back to bite you you try to. Keep. Up. The Sydney and I'll go to Townsville to get the jobs in Jersey to take the fair Eagle that then that had the ferry from down here to Richmond here I would go over to Jersey and they would have said they didn't have all the bridges had Outerbridge in the Vale bridge. And they built up a bridge you know and that wasn't that much in fact that factory in town they all had Neshama smelting factory there and there was very little. Where they used to go to. To. 
A,00:14:58;23,00:15:01;05,F101,Jersey. 
A,00:15:02;08,00:15:16;02,M5,So most communities said yes it is right so I used to go to I had but not that many. 
A,00:15:16;05,00:15:39;12,F69,SIMON HILL Yes they used the word Manhattan like I say they used to go to Jersey take the Bay Bridge. I mean they owned ferry and from Port Richmond here and. Tried to get all the states mixed up. 
A,00:15:41;19,00:15:51;18,F104,Impoverishment would go to China straight when you go injuriously. 
A,00:15:52;15,00:16:24;07,F96,Now that the NY ferry from Townsville had that Port Richmond ferry over to the second Bay was Bayonne like that you know that would be the visible things like. 
A,00:16:27;19,00:16:34;21,F106,Yes a little hard for someone like you. 
A,00:16:38;20,00:17:00;08,F7,So all my mother worked in the garment factory where they made really nice stores you know dresses coats and she would help they said you could cut some out this is digital and things like that together. 
A,00:17:00;10,00:17:17;02,F96,I follow them melting sorting something out of them for it and also work it out that way and that's what they did two of them did you know yes there was as many jobs to be had. 
A,00:17:17;15,00:17:20;28,M9,Yes. So as you said. 
Q,00:17:29;04,00:17:41;09,F106,Yes. So what what does your family now. So what did you do. So the jobs have changed so. 
A,00:17:42;20,00:18:46;07,F54,I worked. When I graduated high I worked in an Church in New Jersey for Westinghouse. Used to go to make air conditioners and television. Word comment factory like that. And like I said before there were other in the garment factory. And so I used to take hairdryers survived with a and from Titusville to pick me up and go to my church and ask when we go to Westinghouse Westinghouse attach images. And that's the way. My brother worked in Union New Jersey. And he was a. 
A,00:18:50;24,00:19:24;07,F107,Factory making making tools. That's what he did. You were there were making tools and things like that. He advanced his position. And that's why he made what with you do it. But my sister she worked at a garment factory with my mother. She worked there for a while and see when she got married that was you know I was just about it. Yes. 
A,00:19:26;22,00:19:48;19,F108,So the people in my family now have of the oldest one which is b b pricing. Oh and nephew. 
A,00:19:50;08,00:19:54;18,F107,He's the oldest one. He's worked for the Board of Education. 
A,00:19:55;24,00:20:12;06,F58,And my niece she's a professor in Brook college and my nephew. 
A,00:20:12;16,00:20:16;26,F107,He was a teacher. He became a fireman had. 
A,00:20:17;27,00:20:32;10,F109,Retired after 9/11. She retired after 9/11 and his wife is says she's a teacher in Brooklyn. And. 
A,00:20:32;26,00:20:40;25,M21,Golf. This is my nieces and nephews my brothers. 
A,00:20:41;21,00:20:50;14,F111,She works for issues of law and family. 
A,00:20:50;15,00:20:53;05,F112,She was involved in the sand house works. 
A,00:20:53;08,00:21:04;24,M21,He's a restaurant in Brooklyn. He's a manager there and they go with us when he's retired from the sanitation. 
A,00:21:08;02,00:21:22;16,F111,Said my niece. Stephanie is Professor cannister. 
A,00:21:26;22,00:22:01;14,M21,Dad and they're my my my oldest. They were for the sanitation department. They both of them and the sanitation the work that the garbage is things that one drives a truck and one takes the garbage dumps the garbage off the street. It's what these two. Because she works part time for our shop right. 
A,00:22:01;16,00:22:11;25,F41,She just goes in except or is on the phone in Finland and gives it to the young people there. 
A,00:22:12;05,00:22:25;26,F114,So what are people often order and she gives them paperwork on that and that's how she knew there then they go out and fill the orders and they have someone as severe as him. 
A,00:22:26;14,00:22:48;02,F115,Now they're trying to keep her last summer. You're asking how does that sound like I would ask about the progress. Trying to hold back the very first mother. 
A,00:22:53;17,00:23:40;07,F108,Yeah. So. I think over the years fantastic jobs has said they made in their lifetime and so like I say my oldest nephew before he retired thing where he advanced he was in this fashion. 
A,00:23:44;09,00:23:49;16,F116,And he became a supervisor. And like I said my. 
A,00:23:50;19,00:24:10;29,F114,Nephew they invest in the board of education what with war with the children give him more instructing and teaching them. And. Kevin was saying that was the teacher the fireman and he's retired. 
A,00:24:12;24,00:24:34;15,M22,And the sister she is teaching and she became a professor at Brook college. She advanced at Stony Brook college and the first art exhibits. The. Famous. 
A,00:24:35;05,00:24:51;24,M21,And my nephews there is your oldest nephew's wife. She used to work at a boarding a trailer for size. What Richmond. 
A,00:24:51;29,00:24:54;16,F111,She retired from there. 
A,00:24:54;16,00:25:13;22,M21,And so we have Mary and the youngest boy Mary they have a wonderful wife she's a teacher in Brooklyn and the three girls you the full girls the oldest one is going to Stoneybrook college. 
A,00:25:13;24,00:25:25;14,F115,I mean I'm just like wow. 
A,00:25:28;18,00:25:37;24,F118,I think the family is doing a fantastic job. And I said I made a mistake in seeing my niece the other Stoneybrook college. 
A,00:25:39;11,00:25:50;22,F119,She has to do. She's going to Duke University and they are dying and she's doing fantastic job there driving. 
A,00:25:50;22,00:26:07;03,F118,Coming here were any loving and caring about her. Well she's doing a fantastic job for education and concerned and being a nice polite young lady and we are blessed for that. 
A,00:26:07;06,00:26:19;13,M22,And our sister Jade in Deseret they're going to school and then had their twins and they're in sports and they're doing a fantastic job. 
A,00:26:19;19,00:26:53;05,F120,Like her sister when she was in high school she was involved in the soccer ball across the hall and there just like her and they're doing a fantastic job. Now it was going to school on sat down. They transferred. That mom and dad bought the suburban school and they transfer their eighth grade with their. 
A,00:26:56;02,00:27:02;29,F108,So is I feel so proud. 
A,00:27:03;04,00:27:12;19,F112,I'm so happy and I constantly telling them I continue to do well and they're doing the right thing. And God bless them. 
A,00:27:12;24,00:27:35;27,M21,And I'm here for them whatever I can do to keep on doing well that's the main thing. Be safe. So much going on as far as me but thank God they do. I'm so happy and proud of the family. I mean truly blessed. So back. 
Q,00:27:44;15,00:27:48;15,M23,To you. Could you describe. 
A,00:27:52;09,00:28:14;08,M6,What you have got to talk about. No it's just about like I said I haven't been down to rise Silva spent a time there. 
A,00:28:15;14,00:28:19;03,F118,Years. One time I was one back. 
A,00:28:19;29,00:28:38;06,F112,That's in the family and you go back to the funeral. Know be there for a couple days. And Riceville a very small town like I say if I could by coming in a light emitting light going out as I was a child and this very small town and I. 
A,00:28:40;14,00:29:10;06,F118,And I haven't been there nine years. The last time I kind say I was there is I think a chance to to see anything but you wonder whether that was where I lived. Was that a country until I moved to Dublin. 
A,00:29:10;06,00:29:45;23,F121,There was this country highway that very little traffic in Riceville there very little traffic and like I say that was just like I can tell you everything around your house like the houses but you see they didn't have any lights. It was on a farm. That was a rice field and you had the kerosene lamps you had to expand that from the farm. 
A,00:29:46;04,00:30:06;09,F123,You had installed stoves and I say it's just it was comfortable we are comfortable. 
A,00:30:06;09,00:30:27;24,F121,That's why it was in that day. This is the text panels where you kept the pigs the pigs on the farm. But what you would do with the pigs pen is bring them in the pig the pigs. When you plan to kill them so they will get fat. 
A,00:30:27;27,00:31:00;12,F118,You see them feed them see them. They will get sad because out on a farm there is really not doing anything. They're not just in the pen they keep eating and so they get fat. The new Reggie kill them they will eat the pig. And that's why you would have the pigs and I have had that with Sarah from all the world there were cane make the syrup from the farm. 
A,00:31:01;15,00:31:10;28,F124,And then you have your own corn then they have their own cotton cotton for the flowers. 
A,00:31:10;29,00:31:16;17,M21,No Should made the flowers and things out of things. 
A,00:31:16;29,00:31:19;23,F112,Oh I hope so. 
A,00:31:19;29,00:31:23;10,M9,Yes. Right. 
A,00:31:24;04,00:32:01;16,F118,You make the sugar cane you take it at a mill like a grinder. You bring in there and you feed that into the ground and a squeeze the juice out in this container. Then they had this large huge tub. Like. A. Big tub they would put that in all the juice from the cave and you know how to cook it you make a fire under that of which are troubles elevated on some breaks. You put the juice cane in that. 
A,00:32:01;29,00:32:21;25,F96,So and yet you cook it down and so you've made the syrup. That's right you could take several syrup. You had enough for your home and things like that. Then they had the cotton farm cotton whenever cotton on the farm. 
A,00:32:22;07,00:32:43;27,F76,They will you picked the cotton you take it into the mill and I take the seeds out of the garden and then they would take that and they make make matches and make quilts they make all that either of them would get the seeds in there. 
A,00:32:44;16,00:33:36;22,F96,And they said they would patch that get the material out to get material so it together like you see like you see a patch quilt today. That's what this looks like like that. So what does. It sends out more here. Because I grew up here I I was young when I came here it blew up when you had more than you had there was rice fields a beautiful quiet little country town very very nice. 
A,00:33:36;29,00:34:51;14,F118,And like I say I can't say that much about it much nicer it naturally it's still a quiet town because I went down for the funeral and things like that. But it's it's it's it's. It's a quiet place but I said no to. Because there's more here more to do for people you know and more advantages are there than there because what that was found there that you could do because there was factories here and you don't have the factories and things like so was the transition from it was just the idea of getting used to how people would treat you. You know. They had the attitudes to be nasty instead of being friendly and nice and here for each other. 
Q,00:34:53;04,00:34:57;04,M21,People was it's it's it's of them are just like you know. 
A,00:34:58;05,00:35:17;22,F120,But you felt more down south because there was more prejudice and they are no prejudice no one as bad as on as bad as the South because. 
A,00:35:18;05,00:37:32;06,F76,Because there was war people lost. You dealt with more people. That's what made it. Yes yes. Do you think. It would make you sad and disgusted because. It was taught to do the right thing and be polite and be there for each other. Because of who what are and how when you see them when they're being prejudiced or being nasty. And even I have said why are against the black masses of black against the whiteness of blacks against the black Lassie is just why some people are. And it's hard to see how people could be so nasty when you've been nice and polite to them. And why can't they treat you the same way as you treat them. There's no need no reason for that. Why. Well I want to be like that. Life is too short. You are blessed. God have you on Earth. And you are blessed to be here to share this with us of a cowboy or a race or what have you. We don't need that here for each other means thankful and letting. God know that people know how much we appreciate everyday and that's what counts. Now that said so still today you see people still being nasty. I won't care what race what about where some people are just nasty. Nasty among their own race that their hair color and everything is just me. Some people just have problems. 
A,00:37:35;02,00:38:10;29,F127,Pray and help them that's all we can do. So. You're just. Of. That house. I save up to. Use. Of. 
A,00:38:12;19,00:38:44;07,F119,Pepper time with the shot. Take the ferry going to pretend to shop and go to church stores nicer nice stores. Walk up Smith Street and then do your shopping. Now that was nice. It was a pleasure to get out and go into that. You know. Gas. And. Be among the people. And people are pretty way of saying Which church people do things like that are nice. They. 
A,00:38:48;02,00:39:03;24,M25,Just said they were so registers. Oh yes was an impression which is this is very new york you know what. 
A,00:39:05;14,00:39:13;22,F76,About the South. Yes. So it was was nice that way and news treated that way. You know. 
A,00:39:15;22,00:39:59;26,F114,The I have pledged to go over there and get more smiles. How are you. You know I say go going to church and doing your shopping except for food shopping the clothing shopping and that was everything. You know so many nicer that way to get. Out. Of. What neighbors like. Well. My neighbors there was like. I. Said wheat. 
A,00:40:01;16,00:40:06;00,F76,And Rice there was I was out there in the country you know. 
A,00:40:06;00,00:40:18;18,F129,So it was a minute wasn't it. No that wasn't close down way down. You could see a house over there somewhere away. You know it wasn't like the farm. 
A,00:40:19;19,00:40:32;29,F130,And then we moved into town after we left the country and every town where there was a houses was closer that some of the people just just don't want to be bothered. 
A,00:40:34;00,00:40:45;24,F127,And they just had attitudes. Yes we the black people yes on the black neighborhood. I don't see. 
A,00:40:49;06,00:40:50;16,F131,The black people that live there. 
A,00:40:52;07,00:40:59;18,F128,No I don't remove them or remove them at all. I really wasn't a refugee left right field. 
A,00:41:01;08,00:41:08;13,F109,And went to double. Said we stay there. My mother came up and I. Thought I was up. They. Were. 
A,00:41:12;19,00:42:07;16,F132,Black and but they there wasn't the throngs of people. It wasn't that easy even going to school there and. Things like that. It was just something that just wasn't friendly. So long as we kept ourselves. And. You know you try to get involved you want to be friendly you want to be nice. Some people just don't appreciate that. And know how to be nice. And do the right thing you know. My mother always told my parents. All my past mother father grandparents tells you do the right thing you don't have to worry. And. See that's what we always have couldn't do right. We just evolved. We just involved mothers kept self cause you don't do the wrong thing. And that's what that's the way we. 
A,00:42:08;17,00:42:17;04,F133,Would break my mother's heart. 
A,00:42:17;06,00:42:47;29,F132,You will go to jail or something like that. The main thing you heard in your family was when you're doing they are there for you and they're doing the best they can and everything and you go out and do the wrong thing. Why would you want to go out there and do the wrong thing. With so many children. Have parents that didn't care. And you can see why they got involved in the wrong things. Because the press wasn't there for. 
Q,00:42:48;03,00:42:52;02,M27,So how would you describe your name. 
A,00:42:54;22,00:43:11;20,F128,Like I say arranged with all the Townsville I've got to say Georgia those people there wasn't a friend. 
Q,00:43:14;12,00:43:15;09,F132,So. So. 
A,00:43:25;07,00:44:17;18,F135,There was wise there was there was apartment house that we know the first visit a little little place. So my mother found the stuff I was our apartment house. And. Even the ones it's all black in the apartments but there wasn't that it wasn't that friendly. And that's why more or less and there was some some blacks up the street there in the nice home. And there wasn't a friend or Lauzon was saying that they are oh you're from the south. 
A,00:44:21;13,00:44:26;08,F137,And you don't you know I was I was too good. 
A,00:44:27;02,00:44:31;02,F128,I just had turned 12 when I moved here from Georgia. 
A,00:44:35;18,00:44:38;24,F132,Yes I can say they don't want to be bothered. 
A,00:44:38;25,00:44:47;29,F135,WALLACE But you're from Georgia you don't know this Latin the other. 
A,00:44:47;29,00:44:50;10,M28,You're right. 
A,00:44:51;05,00:44:59;02,F135,Yes. And so is this that's why we more or less. To ourselves. You know. 
A,00:45:00;23,00:46:54;02,F128,I have a sister ship. She's five years old. And then when she like I say I'm graduated and went to her mother and she met some people and that's how she was she met a system that was working there and that's how she met her husband there where they live. To assist it's not that way that way South Jersey people more. It wasn't that much but it did go out as we got older we saw go into dances. Down at St. George that had the name of the place and Cromwell center. Center. You say about it which is going the right way to go down like this once a month then bam twice a month they would have dances there and like my sense of divide which has got to be our in-laws to come over and she said boy what the brother in law and she got together as a comment over two dances. Then my son went to George's dances. So I had to stop meddling that way. And my brother was into sports. And. He got involved that way. And so. I was just as all of us as friends. One is how I met them. Yes dances. And they had. You said Count Basie. 
A,00:46:54;27,00:47:00;06,F136,Dizzy Gillespie which has a name. 
A,00:47:01;22,00:48:48;26,F128,There's used to be over here the big large names I'm trying to think it is. And then they had the local bands over here like Eric just said. And I don't know. Now we play with Count Basie they always be down from us. Yes. So either I have a little local parties where I was there during that time there the live bands and that was a thing there faster than ever that dancing had to go out and have a friendship. You meet different people. You dance and have fun. You say you. Is the fuel that was that was not that many not that many because I can say those things and all they didn't involve other families and all that bother you know and see me go my sister. And. She didn't invite her in-laws or just say which was surely they hadn't gotten married yet. They would come out as a band. The dance is over. And we all need to get together a couple who because up and take us around them. A lot of fun that way you know and down at mission. That they had the bands of lay. 
A,00:48:49;29,00:50:04;24,F85,Down on them. What touched down on. Richmond cherish and. Be a club in the name. No he wasn't always like on the opposite side of the border. They were that place over there. Know how we go to have deficits down there. But man fans come here to the fans on it. I can't think of it from Wilson. So from what I said I can't think of the name of the other place. But they used to have a. Guy's name bands there. And so like I said I'd get to base it although it was really good at that time I got friendly with him and introduced a friend of mine that played with Count Basie from a friend of mine she's in New Jersey. And. 
A,00:50:06;11,00:50:23;15,F138,That's nice too. So let's have some fun the dances Nafez. That. Is. 
A,00:50:26;00,00:50:39;27,F85,Because it is in the south it was precious and all I want to read it is still have the black in the whiteness said now. I like that they were very few white and the blacks and very few blacks in the way. 
A,00:50:40;16,00:50:53;04,M20,So that's why it was like. We. 
A,00:50:53;26,00:51:08;09,F85,Were like swing you know like that place as you know you want to play that swing for the dance right. Oh it always has. 
A,00:51:08;10,00:51:35;10,M9,You're always just very nice to also out when they come dressed to go. But with all this as 5 per cent boy crowd Smith Street not too far from the ferry we still go there and there's a lot of shopping there and there was. I can't find a name is two of them. 
A,00:51:36;13,00:52:24;12,F140,Civilians. We used to do the main thing and get our shooting civilians and nice expensive shoes just to have a missable then get. We like the shoes in the store was just this just for dancing. We were well you know the thing is the mother wanted to dance next week. I had them I just want to dance it was almost issue like that. You know. It. Wasn't. 
A,00:52:25;18,00:52:45;20,F142,It wasn't that. Once in a while they have a house party. Out of the lines. All depends on who's having it. Because like some people you didn't deal with because there was drinking and nasty carrying on so you just involved with them. 
A,00:52:45;20,00:53:24;16,F144,You know I didn't know what it was like those afraid of them like knives and things like that. You hear this on this. Oh no you don't do that. You know. So you go through that. So. It's to be like I said quite a few housewives but it. All depends on who's having them. Because you know. 
A,00:53:26;14,00:53:32;21,F142,You just don't do those things. You never let them be involved in those type of people. We never did. 
Q,00:53:32;24,00:53:35;22,F143,You don't do that. So it's. 
A,00:53:45;22,00:54:03;20,F142,Really stick out. This. Family being there for family. We used to go to Philly that feel out to visit my mother's sisters. She said she was all of them. 
A,00:54:03;21,00:54:42;29,F146,She had two sisters there and she going still be there. You got to visit them and they used come to visit. Me and I said. It. Is the bond of family visits. You know. I mean everything in the world. So. I. Had a loving caring child. Because. My parents was always there for. 
A,00:54:44;13,00:55:09;24,F147,The family was close. I've had other sources in Philly but it was still close. And she had valises enjoys it. So during the trial of another telephone the telephone. We got the news monopole. But still that it was right all the time. Every time I was writing letters. You know. So that's the way it was. We had the bond with the family that was. 
A,00:55:10;19,00:55:50;28,F148,With everything in the world. So. Because. That's when. The. From. What. Would. You say about. Her. Yet right because. You know. We didn't deal with the ones that was causing the trouble. Whether it was black or white on rice what race. 
A,00:55:52;10,00:56:09;21,F149,We had white friends that was so nice. We had. Very few the black ones because it was many around. But we did nice things was there for family. We had a bond together. We did live here. They are like I say you couldn't be here. 
A,00:56:10;21,00:56:19;16,F150,And I was involved in sports and school and I guess my brother my sister she wasn't that much in the sport she was a sports person. 
A,00:56:19;19,00:56:44;09,F15,What was involved with the nicer people doing the nicer things and we always will be proud. And made our family proud and they was there for us at all times best that way you know especially my mother she was always anchor care what it was or what she was right there at all. 
Q,00:56:45;13,00:56:56;26,M19,What did you oh so ready. 
A,00:56:56;27,00:57:37;29,F151,I was more like a quiet like happy quiet person. And I always try to be pleasant and nice. You know. I just started wearing makeup and a little bit when I went to high school. And. My mother made sure. That we didn't have parents. Back in those days. No other pants. We had our dresses used to make us some. And she bought it. And she made sure that we had and my brother had. 
Q,00:57:38;26,00:57:43;11,F9,So she was there on what it was or what she was there. 
A,00:57:43;21,00:57:56;22,F151,She would deprive herself of things so she could have it there for us. She was always there for us. And that's the way it went. Bust. 
A,00:58:01;25,00:58:31;23,F99,Oh they used to wear used to wear the pageboy boys come down on a and then they say have this some white knight that pushed up the pageboy wasted. Then they used to have braids at times heavy and braids pageboy when it comes down. 
A,00:58:32;15,00:58:46;27,F113,It goes all the way around like down the street. No no. They have the curl and they have it down where just curl and curl inside. Yes that hair come down straight and and here it was curl. 
A,00:58:47;12,00:59:00;14,F152,Inside like this. Now it's. I have a home. 
A,00:59:01;16,00:59:36;11,F158,Of a curling iron comb to straighten it out. Then I used curling on held the curl it and then I would have the rose of a cold night set my alarm early I was spinning maybe about half 45 mins certain days and I just had to just braid it small and then take that long. And by curl that would take me maybe that. 
A,00:59:37;14,00:59:42;08,F78,Maybe 45 minutes. I wrote that us. 
A,00:59:44;28,00:59:51;04,F10,To make it easier. So what is the speed at. 
A,00:59:55;23,01:00:04;00,F153,Skeezer. 
A,01:00:09;02,01:00:10;25,F63,You know you're the Coleby and yeah right. 
A,01:00:10;25,01:00:51;22,F10,I mean that he is about to cutting early and short they weighed this way. So yeah well we're siblings like growing up there. I guess. All my siblings and my nieces nephews. 
A,01:00:55;07,01:01:03;29,F35,Brothers and Sisters oh all my sister she was the oldest she's 5 year old and my brother is 3 years old and I'm the youngest. 
A,01:01:04;02,01:01:10;17,F9,The three of us was always close. We are very close bond. 
A,01:01:10;19,01:01:15;29,F3,Would you say your sister issues for us all the time. 
A,01:01:16;06,01:01:28;29,F155,She's right there for us. Even when she got married and she in Germany and said now she was right there whatever she could do and my brother was right there with her. 
A,01:01:28;29,01:01:50;04,F33,It was a wonderful wonderful loving caring couple just as my sister's name is Robbie Onno Dinkins Omary name and my brother Thomas Highwood curry. 
Q,01:01:50;08,01:02:11;20,M19,My name is Earlene curry so how was it like being the youngest. Maybe. Did they ever feel like you were a baby. 
A,01:02:11;20,01:02:40;08,F156,No I was never see them like that. All together all together. I'm glad it didn't make a difference because of the age or what mother was always the same. Each of their personalities. Russell's personality she is a sweet kind patient person and just wish you were always was it. 
A,01:02:40;27,01:02:50;11,F155,I don't remember her being there fighting and the confusion that we can get in my mother and I pass outside no of the night that she was. 
A,01:02:51;13,01:02:59;02,F3,Yes she was the same thing. 
A,01:02:59;11,01:03:28;16,F151,S.A first time he ever got a beating in high school. He played. His first day in high school he plays hooky escape school. My mother took him to school and beat his behind and never happened again. There was never anything there confusion or bickering. As sisters and brother. No other problem wasn't anything like that. 
A,01:03:28;29,01:03:31;04,F12,You. 
A,01:03:36;25,01:04:34;22,F16,Oh it was amazing. Oh no. No. No I just I just. When I was in sixth grade. I hit a girl. You call me a bad name quest. It is. That was a nigger. And I wouldn't say she was white. Fisher Namoi road fishing. Right. And I never had a problem without the nasty person always tried to be nice and respected me. 
Q,01:04:34;28,01:04:42;27,M19,Did you feel like you feel like it felt like she got what she deserved. 
A,01:04:42;29,01:04:48;17,F155,Should have never more than just what she deserved. 
Q,01:04:48;21,01:05:11;08,F157,I never heard that remark again from her. So would you say you're like me like life lie to your parents. 
A,01:05:13;29,01:05:20;10,F100,Not really. 
A,01:05:20;20,01:05:23;15,F16,No one doing anything like that. 
A,01:05:25;24,01:05:29;29,F155,Because you know why that's why I like to question. 
