Role,Start timecode,End timecode,Speaker,Transcript
A,00:00:02;08,00:00:09;26,F45,So her name is that you know. Like. My great grandmother's. 
A,00:04:51;29,00:05:08;07,F21,You know that's what we did the fun part of it. Did you do anything else. No just feed the feed. The animals the pigs and the. Cows. 
A,00:05:09;20,00:05:14;29,F43,And the and things like that. That was just about. Just. All. 
A,00:05:16;11,00:05:18;10,F6,You have. 
A,00:05:20;25,00:05:34;16,F21,No I don't have any. No I don't have anything like. This. 
A,00:05:35;02,00:06:14;09,F5,You was put up by coming here. All the family died there. The last one was there I to get a sense of me but the people that was there didn't send it to me. But they do exist say they're out there someplace with. Somewhere. With my. Son with my. Uncles. Family. And uncles wise family. So I don't know where they even go because the way I try to contact she don't. 
A,00:06:15;13,00:06:37;14,F43,She knows she promised to do but didn't do so us. We just lost out on it. So the one that you wanted to get back. We. 
Q,00:06:40;05,00:06:47;22,F5,Can you. Oh I'm sorry. I'm sorry. So Sinais. 
Q,00:06:50;12,00:06:52;19,F25,Oh no I I. 
A,00:06:56;23,00:07:06;08,F5,He said Do I have videos. I said. I don't even remember his shoes. 
Q,00:07:06;08,00:07:20;21,F6,When did you. Just like when I was a kid when I went south. To a vacation. At my mother's brother's house like a bubble his name was Thurstan I shouldn't. 
A,00:07:20;05,00:07:45;21,F5,Look at that what he had there. And I wanted to get the one they flipped from his children when they passed over the bed. They passed enough uncle passed away. But. My. My uncles in-laws. They just. Destroyed my cell my what I tried to get it but they didn't get to me. 
A,00:07:45;29,00:07:59;27,F6,Got it already. Can you describe it honestly. Do you remember. Whose picture activities. Are being documented. 
A,00:08:01;14,00:08:05;21,F5,Really it was just the family pictures. That was my. 
A,00:08:06;24,00:08:08;24,F3,Mind. 
A,00:08:09;02,00:08:13;23,F5,My mother's sat have pictures of my father's. 
A,00:08:14;03,00:08:24;17,F44,I don't really have maybe one and two of them but I have to my mother's side not my grandmother. 
A,00:08:24;25,00:08:33;21,F5,There are others but I was close to that when I was out there with them. 
A,00:08:35;07,00:08:43;05,F6,Oh yes. You know it just wasn't my. Baby picture like. 
A,00:08:47;12,00:08:55;29,F5,This. It's just Portus. Like I say we don't have that maybe goes back in the day then we didn't take that many pictures wasn't you know. 
A,00:08:56;23,00:09:02;08,F21,So it's just very seldom and you know when you look at them. 
A,00:09:03;14,00:09:16;14,F25,Yes. That what you are seeing. Now a little bit about race. Somewhat race black race. 
Q,00:09:18;29,00:09:44;28,F6,Ethnicity or your background. Like what. Like where that race ethnicity would be like. If we say. We've done. So. I would. 
A,00:09:45;04,00:10:04;15,F45,Say. All right. But. Black America but my grandma was she has some Indian. In her. Background but I don't know. 
Q,00:10:05;10,00:10:06;21,F44,Who wore what. 
Q,00:10:06;22,00:10:20;14,F6,Like I say There there. Yes. All. Right. Nothing like that. Does race play a large role in your life. 
A,00:10:25;18,00:11:41;29,F5,No to a certain extent. They really don't just get to me when when they. Come to people. Are. Racist. And that's what gets on my nerves. I could say we are all human. And you do the right thing here for each other because of what race of color. And that's the most important thing in life is try to get people to do the realize that. And do the right thing. That's the most important thing. You know. I really can't stand on. This is this is racist. It is actually you know how he is and with the attitude. You know he approached people like I was like especially the black don't kick him to the dirt ground. You know I'm white I'm I'm in control. I'm going to do these things. I can't stand even look at the paper or TV or what have you. I feel. Like. Because of his presidency you know. We did racist. 
A,00:11:49;18,00:12:08;03,F8,Life. Oh nice. Oh just I asked her. I said I understand. I've experienced racism. How did you do it. I have experienced it a lot. Growing up. But. 
A,00:12:08;10,00:12:56;26,F9,I see that that's a life. And. I was taught. To do the right thing in regards to who and what. And let them know you know how whites were. Treat me nice. Actually two nights of that I don't need to be bothered with you. Just leave me alone and I go that way. I know that it's not black here in a white was there. You know your limits. When I was young a little girl. So that's what you went by just you did bad people disrespect me. And do the wrong thing that's what I get on my nerves. So what can you. Explain some other races like. Not really only the. 
A,00:12:58;10,00:13:30;16,F5,So I want because like I even say in dealing with work I had different people working for me. And there was a Spanish to the Puerto Ricans and there was. The Haitians and all they were black and all but still. Some have the attitudes and some nasty. And I think that the No. I am who I am and I respect you and you respect me as I don't bother. So I left it like that. 
Q,00:13:30;19,00:13:32;27,F6,Was your day. Your family. 
A,00:13:35;04,00:14:04;23,F5,They did the same way that they dealt the same way knowing how people are what the world is like. So they moved along with it just like that. And. Moved on and say. Thank God it could be worse. And that's just the way we dealt with it. Thank God. Hope tomorrow I'll be a better day. And that's what we did. Does your race help or hinder. 
A,00:14:11;02,00:14:15;29,F6,Set you back. 
A,00:14:16;03,00:15:08;25,F5,It all depends like you say when you go and you know and you have your pride your respect and your term you're doing the right thing. That's the most important thing in life. Long as you know you do it regardless of who or what. Because like I say. Some of the blacks are just as nice to me as what's the White. And the Spanish and the Puerto Rican. Haitians and also on them. But I let them know. Hmong as I was doing the right thing. I'm going continue to do the right thing and. Ask God to take care of and protect me and keep me out of all great harm and danger. That's what made me determined to keep on pushing and. What race or pair. Of Black. 
A,00:15:13;10,00:15:26;13,F6,Mothers side. Yes. You could be any race. What would it be. I would still be just like I am today. 
A,00:15:27;06,00:15:31;26,F5,Because I'm proud of what I am. 
A,00:15:31;02,00:15:33;17,F12,I mean everything in the world. 
A,00:15:35;29,00:15:45;08,F6,Yeah. So you would say your race is a very important part of your identity. Yes. 
Q,00:15:45;10,00:15:57;02,M3,Did you grow up passing for something else. Why not culture other than the one people might apply to you when they first meet you. No one was a. 
A,00:16:01;23,00:16:09;03,F5,Nowness only black. Maybe it's a from Somalia from Africa or someplace like that and. It. 
Q,00:16:10;07,00:16:43;25,F11,Never anything like that. How does your race color affect the way you navigate the. Is. The only thing I can say was that it was just that as you know that you're right. You stand up for. The right thing and do the right thing here for the right thing. That's the most important thing in life. And you. 
A,00:16:44;28,00:17:19;12,F9,Until you're proven wrong. You keep on doing what you. Just taught right. And you know that you're right. If something comes up. That. Might make a change in life. That. Will help you better. And is the right thing. So when we would go make a change like that. So you think there. Are hardships that you face. Is. 
A,00:17:19;20,00:17:35;14,M4,Kind of safe. Oh. Yes. If you say you say you say maybe you wouldn't listen to me. If I was white. 
A,00:17:36;10,00:17:44;21,F8,I learned a lesson. If you say. Nothing like I say you would never want to live this way. 
A,00:17:46;15,00:17:50;27,M4,It's almost like because what you have to go through to be working. 
A,00:17:51;15,00:18:27;13,F9,Oh yes. And I know how I feel what you have had had to go because you deal with that. And what you know growing up. The family prepares you for this. In the right way until you're wrong. That's what you did. Yeah. And he was happy and proud. And you can prove that you know that you're right. And don't change because you know you make a change. And get in is just going the wrong way. So you're right from the beginning so you stick with the right thing to do the right thing. 
Q,00:18:27;19,00:18:32;15,F6,You saw this before. But did you ever get into fights. 
A,00:18:35;23,00:19:30;09,F9,No. Just. Just outside something like that to make you understand. And like I say the one time when. The young lady but I was in grammar schools said nigger. And then I hit her. Other than that I was in a. Nasty fighting person. And as I got older. I let the people know I stopped working. That. I'm proud of who I am. You're not going to disrespect me. I respect you and you're going to respect me. And that. I don't have any part time for you. Even at work. I was there as a teacher. Did you know you want to do your job. And I got a promotion. That if you don't want to do this. You're going to leave I'll take you out to office. 
A,00:19:30;29,00:19:35;25,F11,You don't want to be here. I didn't go. 
Q,00:19:36;02,00:19:40;16,F8,So you feel like you. I feel like I taught a lesson that way. 
A,00:19:40;23,00:19:47;25,M3,They really was verbal like I say yes I. 
A,00:19:48;22,00:20:13;19,F9,Let them take them right out and then learn what they and what I was doing and they made that change. Else you wouldn't have a position don't have a job. And I wasn't going to I was a respected name that is going to respect me. I I get respect and I demand respect. Other than that you're not going to be with this. And I never got nasty or anything like that. 
A,00:20:13;19,00:20:19;16,F11,I just took them and told them they want to be white and they would go. 
Q,00:20:20;04,00:20:29;19,F6,So do you think you've been treated this other guy. 
A,00:20:31;02,00:21:03;02,F5,Yes. Yes I did way because my mother my mother prepared us to have your pride. And keep your pride and keep yourself. Nice. And respect. And talk with respect. And due to respect for like. Respectable things. And that's what can and that's what my. Can you tell me about your religious beliefs or spiritual beliefs. 
Q,00:21:03;15,00:21:15;04,M3,And what is your religion. Baptist. The Baptist and. Doing the right thing on respecting God and I respect each other. 
A,00:21:16;02,00:21:36;17,F5,And doing the right thing by all means at all times. So where what. You don't is you're doing the right thing. And as far as. You believe in God as I believe in God yes. 
A,00:21:37;16,00:21:45;03,F14,That's one of the main things you have the faith and trust that he's here for you. You don't respect him to let you know. 
A,00:21:45;21,00:21:57;16,F15,Let him know that you know how much you appreciate these things and doing the right thing and that's the main thing. 
A,00:22:02;12,00:22:14;06,F17,I think miracles could have I don't have any miracles. 
A,00:22:15;13,00:22:44;03,M5,So just maybe just any acts of God that you know. Only God can give me a of they look at me. Just say something and say oh my God shall I think of something I could say that. He has blessed me in so many ways. 
A,00:22:44;25,00:22:52;20,F19,That I can't come out a particular way to show. 
A,00:22:53;23,00:23:09;29,F14,But having the faith in him with all the surgeries I've had here for me and give me strength to keep moving forward. That's the most important thing and I thank him every day of my life. 
A,00:23:09;29,00:23:27;07,F20,Morning and night I'm thinking him let them know how much I appreciate loving and caring and family. And that's the most important thing and doing the right thing for each other. 
A,00:23:27;15,00:23:37;23,M5,So you just. Yes I think so. 
A,00:23:37;23,00:23:49;05,F22,What was the most profound spiritual moment. 
A,00:23:59;22,00:25:11;07,F24,To tell you just to the I know my was my family my sister and my mother being given me the strength and the power to keep loving and caring so much. It just broke my heart. I want to. Live. I want to do it. I mean give me strength to keep moving. I kept it to myself a lot because. I didn't want to upset the family. But I love them so much. I just couldn't believe they left me. You know this is just couldn't believe me like the sound of going away when he passed away. Is it just if you were I was so sad and devastated and I was wondering why my sister had to. 
A,00:25:13;08,00:25:55;20,F14,Go through all that she went through and being such a sweet loving daughter mother and know you know it just it's just so young to go through what she did. I was so hurt when my last mother even though I had all we had all those years it just just broke my heart. When you love and care like that it is explainable and you can get better. Like I actually got better. But I ask God to forgive me because we all want to go one day. I just couldn't believe that she. 
A,00:25:56;24,00:26:00;02,F16,Is leaving me. 
A,00:26:00;25,00:26:20;23,F24,Yes I was so depressed you couldn't believe it. Yes. Both of my nieces are so depressed with them. Yes I just love them. What can you say or do. Who am I to question God. 
A,00:26:24;18,00:26:28;06,F16,Yes every god. Yes. 
A,00:26:29;08,00:26:45;29,F14,Yes yes. Because I was I was getting so there that asking to forgive me for getting bitter with him taking them I see them as wonderful sweet people. 
Q,00:26:45;29,00:26:52;22,F29,Did you find yourself at times like. 
A,00:26:54;04,00:27:10;05,F30,It is. It is. It was. It was because like I said Lord look at the ones you're taking. And they're so sweet and good. 
C,00:27:10;10,00:27:25;27,F31,Yes yes. OK. OK. Oh yes. 
A,00:27:29;12,00:28:27;07,M6,That time it was a loving and caring. I got a little bitter because wasn't my sister and my niece. And by the way they did look at some that that was out there doing not doing the right thing and I was doing the right thing. And you took them away hurt them I had them sick and I just did it like that and I accept God forgive me because I know who am I to question you. And I had to go back and ask for forgiveness because because I love and care so much that means and ask them to forgive me for being like that and appreciate I appreciate everything I should be doing the best I can by all. 
A,00:28:28;11,00:28:37;14,M8,Keep me safe and have all heard on the news and the right thing and good evening from us. 
A,00:28:45;16,00:29:07;11,F27,I think it's more like a man like Imam because like Jesus Christ was always thought he was a man which is that's what I see. You see like a race no just I don't actually know thought of being as a race. 
A,00:29:07;11,00:29:26;29,M6,I just same as don't question as same as being white but not he thought more white and black. I never thought of it that way. 
A,00:29:26;29,00:29:34;27,M7,Thank you. Is it right. 
Q,00:29:35;15,00:29:39;02,F31,Do you see yourself yes. 
A,00:29:39;04,00:31:39;21,M6,I try to do the right thing. And I pray and ask and take care of all. He was all strong and healthy safe respecting him and close and doing the right thing by Army not only me my family my loved ones even my friends. If I have enemies. That take care of them too. Day when you I pray for all the family all the family even the world that's going on. Saying I hope that all the scenes that they had and hope hope there's all forgiven and they all went to heaven from the beginning. Till now and they met there and to take care of all the family. Keep it all strong and healthy safe close respected him and I respect each other and doing the right thing and forgive us for our sins if these No I just this is leave when you go to heaven you pray. So for the families and loved ones and their sense of forgive and that they go to hell and they meet and they're just waiting for. This. I pray you get this sense was given given my sense meet them in heaven when the time comes yes I do. Yes I do. I do. Because like keep saying if you don't do the right thing that's what you're going to punish you're going to jail. 
A,00:31:52;17,00:31:56;27,F36,No I'm not really I don't believe that. 
Q,00:31:56;29,00:31:58;08,F31,What do you mean. 
A,00:31:59;13,00:32:13;20,M8,I want to thank him for everything and continue to watch all the family after I'm gone guidance and protect. 
A,00:32:13;24,00:32:57;17,F33,He didn't close loving caring and respect him and respect each other and doing the right thing by the you have a company like you and I do want us to cease to be the yes. 
Q,00:32:57;25,00:32:58;12,F37,Right. 
A,00:33:00;09,00:33:13;10,M6,God has friends to protect us right. I believe that that's why I say you do the right thing and there there and that you know you must do the right thing and that could change the right thing. 
A,00:33:13;14,00:34:03;03,F33,Show God how much you appreciate that. Yes. Is too. You know that's anything that makes you feel like oh my showing the same thing I have that has been all times I feel like families watching this guys watch it. All. 
A,00:34:03;08,00:34:07;10,F37,Family. That's the way I feel about it. 
Q,00:34:07;13,00:34:13;10,M9,What would you like your future relatives to know about you or your family. 
A,00:34:15;27,00:34:42;20,M8,I like to know. Let them know that I respect and respect each other and doing the right thing by all means and you do the right thing. To continue to do the right thing and I'm respect that show got out I would appreciate your life that you gone. 
Q,00:34:43;03,00:34:48;24,M6,How much you appreciate your life when you hear on it. I know. 
A,00:34:55;22,00:35:15;23,M8,No it is just to keep us close and loving and caring for each other because of what to do the right thing by all means. I to say show that you love you and don't be respectful for all thing. 
A,00:35:15;24,00:35:39;06,M6,That's the most important thing that if you do something wrong things start to turn you around because we all make some mistakes. Q How minor or major it is you ask God to forgive you. And you do or you do the right thing. That's what counts. And. 
A,00:35:42;29,00:35:47;12,F37,Jobs. I only had a job. I worked at. 
A,00:35:48;02,00:35:56;03,F27,Westinghouse and that was an 18 year yes. 
A,00:35:56;08,00:36:37;05,M8,It was assembly work on the line when I became supervisor. I became a job foreman I had like a hundred and fifty people work at and it was very rough because I was the first female the first black there. There and all races and nationalities. So many of them was against me but I kept praying and asking God to help me and keep smiling and this we at ended up to the end. I retired. This. 
Q,00:36:39;22,00:36:47;22,F32,Tell me how you got into China. 
A,00:36:47;24,00:37:11;19,F41,Someone someone told me I can't think how I've got the I really don't remember around no only my nephew right. 
A,00:37:11;21,00:37:28;15,M8,I once once I've been the work of one summer while he was at school. Then he went back to college dad and I were just a couple months and that was it. 
Q,00:37:28;18,00:37:33;02,F39,So you like it. 
A,00:37:34;11,00:37:37;24,F31,Yes I loved my job. 
A,00:37:37;24,00:38:24;04,M6,I loved it. I enjoyed it. There was a rough job with the hatred in any and all races races nationalities but I was determined the next guy to help me keep me safe and doing the right thing. And that's why I was able to advance and get the promotion because like I said I will be. Both of those the same way. So many so many of them in the salary on the management those voices of a allowed the world as many as out it was worse because there was envious of me getting the job and being a female and being black. 
